is_working_pct;under_influence;has_gun;gender_stress;chance_changing_working_status;pct_change_wage;Run;Aggressor;Person;Stress;aggressor_pct
0.3666666666666667;0.5;0.1;0.1;0.5;0.5;1807;39;2195;0.012833998361096418;0.01776765375854214
0.3666666666666667;0.5;0.1;0.3666666666666667;0.01;0.01;1808;54;2141;0.012959478920425918;0.025221858944418495
0.3666666666666667;0.5;0.1;0.3666666666666667;0.01;0.17333333333333334;1809;34;2174;0.013277520599170135;0.015639374425023
0.3666666666666667;0.5;0.1;0.3666666666666667;0.01;0.33666666666666667;1810;45;2166;0.013014076779743079;0.02077562326869806
0.3666666666666667;0.5;0.1;0.3666666666666667;0.01;0.5;1811;40;2173;0.01294955591636729;0.01840773124712379
0.3666666666666667;0.5;0.1;0.3666666666666667;0.17333333333333334;0.01;1812;48;2183;0.01293744604146005;0.021988089784699953
0.3666666666666667;0.5;0.1;0.3666666666666667;0.17333333333333334;0.17333333333333334;1813;51;2128;0.01298032451343347;0.023966165413533833
0.3666666666666667;0.5;0.1;0.3666666666666667;0.17333333333333334;0.33666666666666667;1814;46;2174;0.013046052023020466;0.021159153633854646
0.3666666666666667;0.5;0.1;0.3666666666666667;0.17333333333333334;0.5;1815;50;2181;0.012844588709354975;0.022925263640531865
0.3666666666666667;0.5;0.1;0.3666666666666667;0.33666666666666667;0.01;1816;46;2186;0.012751248811560202;0.021043000914913082
0.3666666666666667;0.5;0.1;0.3666666666666667;0.33666666666666667;0.17333333333333334;1817;54;2163;0.012789119205431647;0.024965325936199722
0.3666666666666667;0.5;0.1;0.3666666666666667;0.33666666666666667;0.33666666666666667;1818;48;2163;0.01285207589840403;0.022191400832177532
0.3666666666666667;0.5;0.1;0.3666666666666667;0.33666666666666667;0.5;1819;47;2164;0.012847291241343994;0.021719038817005546
0.3666666666666667;0.5;0.1;0.3666666666666667;0.5;0.01;1820;60;2144;0.013176963192630908;0.027985074626865673
0.3666666666666667;0.5;0.1;0.3666666666666667;0.5;0.17333333333333334;1821;58;2151;0.012632692084926015;0.02696420269642027
0.3666666666666667;0.5;0.1;0.3666666666666667;0.5;0.33666666666666667;1822;55;2144;0.012746838202208878;0.025652985074626867
0.3666666666666667;0.5;0.1;0.3666666666666667;0.5;0.5;1823;59;2123;0.012875337728119165;0.027790861987753178
0.3666666666666667;0.5;0.1;0.6333333333333333;0.01;0.01;1824;48;2159;0.012829115801636834;0.0222325150532654
0.3666666666666667;0.5;0.1;0.6333333333333333;0.01;0.17333333333333334;1825;39;2185;0.012645858167321018;0.017848970251716247
0.3666666666666667;0.5;0.1;0.6333333333333333;0.01;0.33666666666666667;1826;46;2180;0.012965274114462095;0.02110091743119266
