Denounce;Got attacked;Females;Stress;run
48;184;1220;0.03270790366962647;19
57;212;1220;0.03254592280733053;19
56;224;1220;0.03244032105944548;19
53;249;1220;0.032353583837724034;19
0;0;1222;0.0;20
7;24;1222;0.0;20
14;41;1222;0.03482371718419197;20
12;62;1222;0.03472601549347853;20
25;93;1222;0.03464889159130739;20
29;121;1222;0.034509034838230083;20
35;142;1222;0.03440064461073106;20
53;168;1222;0.03426888248556038;20
47;201;1222;0.03420662991372695;20
71;232;1222;0.03412402528933296;20
66;248;1222;0.03403940787529039;20
0;0;1245;0.0;21
3;29;1245;0.0;21
9;49;1245;0.033629708982271536;21
10;67;1245;0.03360235790703732;21
18;96;1245;0.03352920922752631;21
19;120;1245;0.03350768521992879;21
30;146;1245;0.033417273652658085;21
32;179;1245;0.0333508840772498;21
47;201;1245;0.03323851352303844;21
56;222;1245;0.033115098425854306;21
58;248;1245;0.032959643262042745;21
0;0;1234;0.0;22
2;17;1234;0.0;22
4;32;1234;0.03399846532698952;22
18;43;1234;0.03390801452979137;22
15;61;1234;0.033890366997234175;22
23;87;1234;0.03382531221190006;22
25;106;1234;0.03373779617983714;22
26;126;1234;0.03369968675596911;22
30;149;1234;0.033602089129005475;22
34;168;1234;0.03349273670118151;22
48;194;1234;0.03337881391125556;22
0;0;1201;0.0;23
4;25;1201;0.0;23
9;44;1201;0.03284457383393582;23
16;57;1201;0.032797693476688004;23
22;82;1201;0.03265857287054866;23
28;105;1201;0.032627287485516174;23
19;126;1201;0.03256904262344418;23
28;148;1201;0.032463409684127614;23
38;168;1201;0.032357185229814144;23
50;188;1201;0.03226330097043105;23
54;213;1201;0.032150955305074135;23
0;0;1189;0.0;24
8;33;1189;0.0;24
14;55;1189;0.033256196703070215;24
20;79;1189;0.03318771939420132;24
26;112;1189;0.03309441320944026;24
25;137;1189;0.03295246371751205;24
30;159;1189;0.03289560973603209;24
41;180;1189;0.03282979884131479;24
48;207;1189;0.032744184099935986;24
50;223;1189;0.03255258515654468;24
57;241;1189;0.032468838649475036;24
0;0;1199;0.0;25
6;24;1199;0.0;25
13;45;1199;0.032647759390858386;25
20;65;1199;0.03254126397641583;25
18;89;1199;0.03238924718255635;25
32;113;1199;0.032347015800638326;25
36;138;1199;0.03225936156412752;25
37;164;1199;0.032133359215529594;25
52;186;1199;0.03206156656999803;25
50;200;1199;0.031972496497717315;25
51;221;1199;0.03185691875925246;25
0;0;1209;0.0;26
2;20;1209;0.0;26
11;47;1209;0.03271404607020019;26
18;70;1209;0.032659224044078686;26
24;84;1209;0.03258155343544563;26
25;99;1209;0.03245693846263706;26
36;122;1209;0.03238104245290439;26
37;142;1209;0.032280073778051505;26
44;160;1209;0.032235957533275815;26
47;177;1209;0.03210953332789658;26
49;200;1209;0.03201235670945658;26
0;0;1272;0.0;27
9;31;1272;0.0;27
20;59;1272;0.03406195596281096;27
26;84;1272;0.03398475821116166;27
23;106;1272;0.03385766263683315;27
34;133;1272;0.03379239309882866;27
30;156;1272;0.033760421379457235;27
44;180;1272;0.033642123724889;27
47;200;1272;0.033534069027614404;27
55;221;1272;0.03344392129928348;27
66;244;1272;0.03342169145435925;27
0;0;1213;0.0;28
6;27;1213;0.0;28
15;57;1213;0.03347002424225023;28
18;85;1213;0.03343569431591306;28
29;109;1213;0.03336338091701686;28
32;125;1213;0.03327237554831683;28
35;153;1213;0.03312929667622477;28
41;183;1213;0.03301301620556354;28
51;211;1213;0.0329392127188383;28
54;247;1213;0.032832585126920485;28
73;272;1213;0.032756477972071665;28
0;0;1274;0.0;29
9;32;1274;0.0;29
14;56;1274;0.03416787007624967;29
22;75;1274;0.034129756695852234;29
26;100;1274;0.03403198910830733;29
27;120;1274;0.03393263209539903;29
31;140;1274;0.03384032147102244;29
38;164;1274;0.03376254945398575;29
55;190;1274;0.033641725716514734;29
47;212;1274;0.03351971318114206;29
60;230;1274;0.03345471920307847;29
0;0;1206;0.0;30
3;21;1206;0.0;30
8;47;1206;0.033385577068804066;30
10;66;1206;0.03335317489578743;30
18;95;1206;0.033268860579805895;30
31;118;1206;0.03320701093509932;30
35;142;1206;0.033163795788083796;30
45;166;1206;0.03303386112635238;30
43;194;1206;0.032894286774617;30
47;214;1206;0.03281367434502826;30
51;228;1206;0.032775644119938434;30
0;0;1226;0.0;31
10;23;1226;0.0;31
7;54;1226;0.03345218041674316;31
19;75;1226;0.033415799597699886;31
20;97;1226;0.0333319688306757;31
35;112;1226;0.033252404370969456;31
39;128;1226;0.03310633135157507;31
47;153;1226;0.03303964905892435;31
43;175;1226;0.03292711289431311;31
50;187;1226;0.03280497858691682;31
48;204;1226;0.03271163579484852;31
0;0;1191;0.0;32
3;26;1191;0.0;32
10;57;1191;0.032537029200486255;32
16;84;1191;0.032419258925808776;32
20;106;1191;0.03238221837561683;32
37;130;1191;0.03233950848860062;32
53;148;1191;0.03223759477810436;32
37;164;1191;0.03207393031771482;32
52;185;1191;0.03204644551251136;32
61;207;1191;0.03199727906486356;32
43;222;1191;0.03187069299007214;32
0;0;1152;0.0;33
2;18;1152;0.0;33
12;43;1152;0.0334448838617722;33
22;69;1152;0.033382092690305176;33
23;97;1152;0.03326470421356791;33
35;126;1152;0.033100173198261355;33
39;148;1152;0.03307499624104175;33
47;176;1152;0.03295701624009784;33
45;196;1152;0.03283767744388196;33
62;219;1152;0.03272372445882948;33
58;240;1152;0.03265591812141032;33
0;0;1234;0.0;34
5;30;1234;0.0;34
12;65;1234;0.0344912055951211;34
24;84;1234;0.03440741164746435;34
26;110;1234;0.03428285719928181;34
26;136;1234;0.034205670802669;34
34;158;1234;0.034107340131741826;34
42;174;1234;0.034040074197584626;34
44;199;1234;0.033954192272264164;34
46;232;1234;0.033840042147966085;34
57;248;1234;0.03378410015656127;34
0;0;1238;0.0;35
4;27;1238;0.0;35
11;54;1238;0.03321718805639716;35
20;81;1238;0.03310367226075504;35
18;107;1238;0.03303423219042374;35
34;132;1238;0.032963678144382835;35
44;152;1238;0.032866535989269786;35
45;166;1238;0.032732084112236055;35
53;196;1238;0.032614834307347955;35
