under_influence;Run;Denounce;Females;Got attacked;Stress
0.01;129;85;1222;208;0.029383191838166317
0.01;130;68;1224;200;0.030156273194550595
0.01;131;83;1279;204;0.028434154836132427
0.01;132;68;1208;210;0.02981576568461321
0.01;133;71;1238;204;0.0295695059068408
0.01;134;75;1222;229;0.03034703131286837
0.01;135;66;1194;170;0.028877937923944885
0.01;136;75;1225;198;0.02988910576735635
0.01;137;93;1203;238;0.030305340154295327
0.01;138;76;1162;207;0.03000043664851375
0.01;139;84;1225;212;0.030326503704345083
0.01;140;74;1199;214;0.029922317043055403
0.01;141;80;1246;219;0.02940718721773866
0.01;142;77;1234;214;0.030422561522387686
0.01;143;76;1270;233;0.030087840519192
0.01;144;68;1187;204;0.031415501496808065
0.01;145;79;1223;203;0.030037380195212245
0.01;146;81;1218;238;0.03001593194020665
0.01;147;72;1231;202;0.030007506759045444
0.01;148;84;1201;217;0.029523461391217958
0.01;149;84;1253;247;0.0298753439509218
0.01;150;58;1239;173;0.029414123501767395
0.01;151;62;1218;203;0.02990450620400223
0.01;152;78;1215;192;0.029994074965319237
0.01;153;67;1214;202;0.03013539471062316
0.01;154;70;1225;202;0.03067507548285683
0.01;155;69;1243;210;0.03020456177388464
0.01;156;74;1199;205;0.02964456181536231
0.01;157;73;1225;238;0.02870674018375184
0.01;158;69;1259;200;0.030243539642987625
0.01;159;90;1200;204;0.028864691308663606
0.01;160;77;1211;210;0.028725598578593033
0.01;161;80;1186;205;0.02916516309310688
0.01;162;75;1192;192;0.02969435792719905
0.01;163;71;1284;215;0.030244485155900967
0.01;164;78;1258;217;0.029549255842841994
0.01;165;74;1244;228;0.030162921553578786
0.01;166;72;1223;207;0.028940927306335
0.01;167;72;1219;222;0.029176851604495537
0.01;168;76;1258;209;0.029779018007990446
0.01;169;78;1220;212;0.029302061718117008
0.01;170;76;1210;203;0.02984135495033297
0.01;171;97;1179;229;0.029568383211981273
0.01;172;70;1231;224;0.029724737838595257
0.01;173;78;1203;183;0.028796850697479608
